OpCode,Source,Count,Probability,Event Information
1, '0.0.0.0',9,0.0714285714286,3.80735492206
1, '192.168.1.1',2,0.015873015873,5.9772799235
1, '192.168.1.100',15,0.119047619048,3.07038932789
1, '192.168.1.101',1,0.00793650793651,6.9772799235
1, '192.168.1.102',2,0.015873015873,5.9772799235
1, '192.168.1.103',2,0.015873015873,5.9772799235
1, '192.168.1.104',11,0.0873015873016,3.51784830486
1, '192.168.1.105',62,0.492063492063,1.02308361311
1, '192.168.1.106',1,0.00793650793651,6.9772799235
1, '192.168.1.107',2,0.015873015873,5.9772799235
1, '192.168.1.108',2,0.015873015873,5.9772799235
2, '192.168.1.1',8,0.0634920634921,3.9772799235
2, '192.168.1.101',1,0.00793650793651,6.9772799235
2, '192.168.1.103',1,0.00793650793651,6.9772799235
2, '192.168.1.104',2,0.015873015873,5.9772799235
2, '192.168.1.105',4,0.031746031746,4.9772799235
2, '192.168.1.106',1,0.00793650793651,6.9772799235
Source entropy
2.70468783623
Max entropy
2.83321334406
