OpCode,Source,Count,Probability,Event Information
1, '0.0.0.0',38,0.119873817035,3.0604115167
1, '10.254.86.1',18,0.0567823343849,4.1384140287
1, '10.254.86.22',5,0.0157728706625,5.98641093525
1, '10.254.86.39',1,0.00315457413249,8.30833903014
1, '10.254.86.48',47,0.148264984227,2.75375017846
1, '10.254.86.54',42,0.132492113565,2.91602160736
1, '10.254.86.56',6,0.018927444795,5.72337652942
1, '10.254.86.57',2,0.00630914826498,7.30833903014
1, '10.254.86.64',71,0.223974763407,2.15859191063
1, '10.254.86.65',7,0.0220820189274,5.50098410808
1, '10.254.86.66',1,0.00315457413249,8.30833903014
1, '10.254.86.67',1,0.00315457413249,8.30833903014
1, '10.254.86.69',1,0.00315457413249,8.30833903014
1, '10.254.86.71',1,0.00315457413249,8.30833903014
1, '10.254.86.72',6,0.018927444795,5.72337652942
1, '10.254.86.73',2,0.00630914826498,7.30833903014
1, '10.254.86.74',22,0.0694006309148,3.8489074115
1, '10.254.86.75',2,0.00630914826498,7.30833903014
1, '10.254.86.76',1,0.00315457413249,8.30833903014
1, '10.254.86.77',12,0.0378548895899,4.72337652942
1, '10.254.86.78',2,0.00630914826498,7.30833903014
1, '10.254.86.79',7,0.0220820189274,5.50098410808
1, '10.254.86.80',1,0.00315457413249,8.30833903014
1, '10.254.86.81',1,0.00315457413249,8.30833903014
1, '10.254.86.82',12,0.0378548895899,4.72337652942
1, '10.254.86.83',1,0.00315457413249,8.30833903014
2, '10.254.86.1',7,0.0220820189274,5.50098410808
Source entropy
3.60049931947
Max entropy
4.75488750216
